time_days,separation_u,magnification,flux,delta_magnitude
0.06358528172,1.05693445,1.303742251,1.303742251,-0.2879793505
0.06455604938,1.072864393,1.294080915,1.294080915,-0.2799035811
0.06552681704,1.088797334,1.284793461,1.284793461,-0.2720832941
0.0664975847,1.104733143,1.275862397,1.275862397,-0.2645095944
0.06746835236,1.120671698,1.26727122,1.26727122,-0.2571739304
0.06843912002,1.136612883,1.259004352,1.259004352,-0.2500680785
0.06940988768,1.152556589,1.251047074,1.251047074,-0.2431841286
0.07038065534,1.168502713,1.24338547,1.24338547,-0.23651447
0.071351423,1.184451157,1.236006377,1.236006377,-0.2300517786
0.07232219066,1.200401829,1.228897333,1.228897333,-0.2237890045
0.07329295832,1.216354642,1.222046535,1.222046535,-0.2177193603
0.07426372598,1.232309511,1.215442796,1.215442796,-0.2118363101
0.07523449364,1.248266358,1.209075507,1.209075507,-0.2061335588
0.0762052613,1.264225109,1.202934601,1.202934601,-0.2006050425
0.07717602896,1.280185691,1.197010521,1.197010521,-0.1952449187
0.07814679662,1.296148038,1.191294188,1.191294188,-0.1900475575
0.07911756428,1.312112085,1.185776975,1.185776975,-0.1850075328
0.08008833194,1.328077771,1.180450678,1.180450678,-0.1801196145
0.0810590996,1.344045036,1.175307491,1.175307491,-0.1753787606
0.08202986726,1.360013827,1.170339987,1.170339987,-0.1707801096
0.08300063492,1.375984089,1.165541092,1.165541092,-0.1663189734
0.08397140258,1.391955772,1.160904066,1.160904066,-0.1619908312
0.08494217024,1.407928827,1.156422489,1.156422489,-0.1577913221
0.0859129379,1.423903209,1.152090236,1.152090236,-0.1537162395
0.08688370556,1.439878873,1.147901465,1.147901465,-0.1497615253
0.08785447322,1.455855777,1.143850603,1.143850603,-0.1459232639
0.08882524088,1.471833881,1.139932329,1.139932329,-0.1421976769
0.08979600854,1.487813145,1.136141562,1.136141562,-0.1385811181
0.0907667762,1.503793534,1.132473445,1.132473445,-0.1350700684
0.09173754386,1.519775011,1.128923341,1.128923341,-0.1316611309
0.09270831152,1.535757542,1.125486813,1.125486813,-0.1283510268
0.09367907918,1.551741096,1.122159618,1.122159618,-0.1251365905
0.09464984684,1.56772564,1.118937699,1.118937699,-0.1220147658
0.0956206145,1.583711144,1.115817172,1.115817172,-0.1189826017
0.09659138216,1.599697581,1.112794318,1.112794318,-0.1160372485
0.09756214982,1.615684922,1.109865577,1.109865577,-0.1131759541
0.09853291747,1.63167314,1.107027538,1.107027538,-0.1103960608
0.09950368513,1.647662211,1.104276933,1.104276933,-0.1076950011
0.1004744528,1.663652109,1.10161063,1.10161063,-0.1050702954
0.1014452205,1.679642811,1.099025626,1.099025626,-0.1025195478
0.1024159881,1.695634294,1.096519041,1.096519041,-0.100040444
0.1033867558,1.711626537,1.094088112,1.094088112,-0.09763074765
0.1043575234,1.727619517,1.091730188,1.091730188,-0.09528829805
0.1053282911,1.743613215,1.089442724,1.089442724,-0.09301100713
0.1062990588,1.759607612,1.087223279,1.087223279,-0.09079685697
0.1072698264,1.775602688,1.085069507,1.085069507,-0.08864389732
0.1082405941,1.791598425,1.082979154,1.082979154,-0.08655024311
0.1092113617,1.807594806,1.080950057,1.080950057,-0.08451407222
0.1101821294,1.823591814,1.078980136,1.078980136,-0.08253362318
0.1111528971,1.839589432,1.07706739,1.07706739,-0.08060719308
0.1121236647,1.855587645,1.075209899,1.075209899,-0.07873313544
0.1130944324,1.871586437,1.073405814,1.073405814,-0.07690985829
0.1140652,1.887585793,1.071653357,1.071653357,-0.07513582219
0.1150359677,1.9035857,1.069950819,1.069950819,-0.07340953843
0.1160067354,1.919586143,1.068296553,1.068296553,-0.07172956722
0.116977503,1.93558711,1.066688975,1.066688975,-0.07009451602
0.1179482707,1.951588588,1.065126562,1.065126562,-0.06850303783
0.1189190383,1.967590563,1.063607845,1.063607845,-0.06695382966
0.119889806,1.983593024,1.06213141,1.06213141,-0.06544563096
0.1208605737,1.999595959,1.060695897,1.060695897,-0.06397722218
0.1218313413,2.015599358,1.059299993,1.059299993,-0.06254742331
0.122802109,2.031603208,1.057942434,1.057942434,-0.06115509255
0.1237728766,2.0476075,1.056622003,1.056622003,-0.05979912496
0.1247436443,2.063612223,1.055337524,1.055337524,-0.0584784512
0.125714412,2.079617367,1.054087867,1.054087867,-0.05719203631
0.1266851796,2.095622922,1.05287194,1.05287194,-0.05593887853
0.1276559473,2.11162888,1.051688689,1.051688689,-0.05471800815
0.1286267149,2.127635231,1.050537101,1.050537101,-0.05352848641
0.1295974826,2.143641966,1.049416194,1.049416194,-0.05236940447
0.1305682502,2.159649077,1.048325025,1.048325025,-0.05123988236
0.1315390179,2.175656556,1.04726268,1.04726268,-0.05013906802
0.1325097856,2.191664394,1.046228279,1.046228279,-0.04906613631
0.1334805532,2.207672583,1.045220972,1.045220972,-0.04802028817
0.1344513209,2.223681117,1.04423994,1.04423994,-0.04700074965
0.1354220885,2.239689987,1.043284388,1.043284388,-0.04600677115
0.1363928562,2.255699187,1.042353552,1.042353552,-0.04503762651
0.1373636239,2.271708709,1.041446692,1.041446692,-0.04409261229
0.1383343915,2.287718546,1.040563095,1.040563095,-0.04317104698
0.1393051592,2.303728693,1.039702069,1.039702069,-0.04227227026
0.1402759268,2.319739143,1.038862948,1.038862948,-0.04139564231
0.1412466945,2.335749889,1.038045087,1.038045087,-0.0405405431
0.1422174622,2.351760926,1.037247863,1.037247863,-0.03970637173
0.1431882298,2.367772247,1.036470673,1.036470673,-0.03889254584
0.1441589975,2.383783847,1.035712935,1.035712935,-0.03809850093
0.1451297651,2.39979572,1.034974086,1.034974086,-0.03732368981
0.1461005328,2.415807861,1.03425358,1.03425358,-0.03656758201
0.1470713005,2.431820265,1.03355089,1.03355089,-0.03582966325
0.1480420681,2.447832926,1.032865506,1.032865506,-0.03510943487
0.1490128358,2.463845839,1.032196935,1.032196935,-0.03440641336
0.1499836034,2.479859,1.0315447,1.0315447,-0.0337201298
0.1509543711,2.495872404,1.030908337,1.030908337,-0.03305012947
0.1519251388,2.511886045,1.0302874,1.0302874,-0.03239597131
0.1528959064,2.527899921,1.029681455,1.029681455,-0.03175722751
0.1538666741,2.543914025,1.029090083,1.029090083,-0.03113348308
0.1548374417,2.559928354,1.028512879,1.028512879,-0.0305243354
0.1558082094,2.575942904,1.027949448,1.027949448,-0.02992939387
0.1567789771,2.59195767,1.02739941,1.02739941,-0.0293482795
